Regime,Stage_collection,Treatment_length,Stage_fixation
R1,8-cell,48h,120-150 cell
R5,32-64 cell,30h,120-150 cell
R3,64-90 cell,24h,120-150 cell
R4,90-120 cell,20h,120-150 cell
R6,>120 cell,15h,120-150 cell
R8,8-cell,24h treatment + 24h control,120-150 cell
R9,8-cell,30h treatment + 18h control,120-150 cell
