Exp_date,Img_date,Experiment,Litter,Embryo_ID,Genotype,Treatment,Tt_length,Experimenter,Markers,Xpoint
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H17,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H18,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_C1,WT,Single,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H1,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H2,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H3,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H4,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H5,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H6,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H7,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H8,WT,Half,48h,NS,C2G6NG,ep
20160503,20160516,050316_halfCD1_F,F,050316_halfCD1_F_H9,WT,Half,48h,NS,C2G6NG,ep
