Exp_date,Img_date,Experiment,Litter,Embryo_ID,Genotype,Treatment,Tt_length,Experimenter,Markers,Xpoint
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_D1,WT,Double,48h,NS,C2G6NG,ep
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_D2,WT,Double,48h,NS,C2G6NG,ep
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_D3,WT,Double,48h,NS,C2G6NG,ep
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_D4,WT,Double,48h,NS,C2G6NG,ep
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_C1,WT,Single,48h,NS,C2G6NG,ep
20160419,20160426,041916_2xCD1_A,A,041916_2xCD1_A_C2,WT,Single,48h,NS,C2G6NG,ep
20160419,20160427,041916_2xCD1_B,B,041916_2xCD1_B_D1,WT,Double,48h,NS,C2G6NG,ep
20160419,20160427,041916_2xCD1_B,B,041916_2xCD1_B_D2,WT,Double,48h,NS,C2G6NG,ep
20160419,20160427,041916_2xCD1_B,B,041916_2xCD1_B_D3,WT,Double,48h,NS,C2G6NG,ep
20160419,20160427,041916_2xCD1_B,B,041916_2xCD1_B_D4,WT,Double,48h,NS,C2G6NG,ep
20160419,20160427,041916_2xCD1_B,B,041916_2xCD1_B_D5,WT,Double,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_C1,WT,Single,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H1,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H2,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H3,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H4,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H5,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H6,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H7,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H8,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H9,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H10,WT,Half,48h,NS,C2G6NG,ep
20160420,20160427,042016_halfCD1_C,C,042016_halfCD1_C_H11,WT,Half,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D1,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D2,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D3,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D4,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D5,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_D6,WT,Double,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_C1,WT,Single,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_C2,WT,Single,48h,NS,C2G6NG,ep
20160421,20160428,042116_2xCD1_D,D,041916_2xCD1_D_C3,WT,Single,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_C1,WT,Single,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H19,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_C3,WT,Single,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H1,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H2,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H3,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H4,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H5,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H6,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H7,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H8,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H9,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H10,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H11,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H12,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H13,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H14,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H15,WT,Half,48h,NS,C2G6NG,ep
20160421,20160429,042116_halfCD1_E,E,042116_halfCD1_E_H16,WT,Half,48h,NS,C2G6NG,ep
